train_dataset,ACE-whQA-has-answer.json,ACE-whQA-IDK-non-competitive.json,english_dev_tydiqa_filterd.json,valid.json,ACE-whQA-IDK-competitive.json
squad_entities_one,80.87068160597572,74.79674796747967,41.65408694542395,80.99143704757347,38.4
squad_unansq,80.45151393890892,70.32520325203252,40.3614748019686,80.36432750239449,34.4
squad2,80.95171401894092,72.76422764227642,39.835308816248336,80.41366894943542,35.199999999999996
squad_crqda,79.34240362811794,70.32520325203252,41.21524142871033,80.56377180896888,36.8
squad_antonyms_ppl,82.01075301915638,65.85365853658537,40.16678802665119,80.8509056051602,30.4
