filename,average_exact_match,average_f1,exact_match_has_ans,f1_has_ans,exact_match_no_ans,f1_no_ans
squad_entities_one,73.96614166596478,80.99143704757347,61.993927125506076,76.06466465348174,85.90412111017662,85.90412111017662
squad_unansq,72.9217552429883,80.36432750239449,63.09041835357625,77.99690628136469,82.72497897392768,82.72497897392768
squad2,73.00597995451865,80.41366894943542,63.444669365722,78.28129072817929,82.53994953742641,82.53994953742641
squad_crqda,73.10704960835508,80.56377180896888,63.394062078272604,78.32889046691761,82.79226240538267,82.79226240538267
squad_antonyms_ppl,73.76400235829192,80.8509056051602,63.02294197031039,77.21707190453223,84.47434819175778,84.47434819175778
